dataset_root,filename,path,text,label_length,orig_width,orig_height,scaled_width,source_group
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,1.jpg,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/1.jpg,"Số 3 Nguyễn Ngọc Vũ, Hà Nội",27,1684,245,660,single:1
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,2.jpg,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/2.jpg,"Số 30 Nguyên Hồng, Láng Hạ, Đống Đa, Hà Nội",43,2030,276,706,single:2
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,3.jpg,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/3.jpg,"58 Thái Thịnh, Đống Đa, Hà Nội",30,2544,376,650,single:3
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,4.jpeg,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/4.jpeg,"Số 370/8 khu phố 5B, phường Tân Biên, Biên Hòa, Đồng Nai",56,1836,171,1031,single:4
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,5.jpg,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/5.jpg,"Vĩnh Trung Plaza, B, 255-257 đường Hùng Vương, phường Vĩnh Trung",64,2207,239,886,single:5
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,6.jpg,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/6.jpg,"Tòa nhà 34T, Hoàng Đạo Thúy, Hà Nội",35,1683,241,670,single:6
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,7.jpg,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/7.jpg,"40 Cát Linh, Đống Đa, Hà Nội",28,1278,150,818,single:7
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,8.jpg,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/8.jpg,"phòng 101, tầng 1, lô 04-TT5B, khu đô thị Tây Nam Linh Đàm",58,2159,197,1052,single:8
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,9.JPG,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/9.JPG,Nhà 87 ngõ 416 Đê La Thành,26,955,134,684,single:9
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,10.JPG,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/10.JPG,"Up coworking Space, 89 Láng Hạ, Hà Nội",38,2022,308,630,single:10
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,11.jpg,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/11.jpg,"192 Ngô Đức Kế, quận 1, Hồ Chí Minh",35,2615,346,726,single:11
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,12.jpg,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/12.jpg,"số 5 Công Trường Mê Linh, phường Bến Nghé, quận 1",49,2694,295,877,single:12
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,13.jpg,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/13.jpg,"90A đường Mai Xuân Thưởng, tỉnh Gia Lai",39,2664,252,1015,single:13
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,14.jpg,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/14.jpg,"96/7/12B Phạm Văn Đồng, thành phố Pleiku",40,2406,231,1000,single:14
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,15.jpg,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/15.jpg,"168 Ngô Gia Tự, thành phố Hà Tĩnh",33,2606,256,977,single:15
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0000_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0000_samples.png,"Số 253 đường Trần Phú, Thị trấn Nam Sách, Huyện Nam Sách, Hải Dương",67,1853,104,1710,samples:0000
/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images,0001_samples.png,/kaggle/input/datasets/huyyuh/3500-w/vn_handwritten_images/data/0001_samples.png,"Số 289 Đinh Bộ Lĩnh, Phường 26, Quận Bình Thạnh, TP Hồ Chí Minh",63,1852,102,1743,samples:0001
